id,suspend_operation,suspended_at,coming_soon,vacation,vacation_start,vacation_stop,suspend_ordering,suspend_ordering_start,suspend_ordering_stop,active,pending
1288,2,,2,2,,,2,,,2,2
1289,2,,2,2,,,2,,,2,2
1290,2,,2,2,,,2,,,2,2
1291,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1292,2,,2,2,,,2,,,2,2
1293,2,,2,2,,,2,,,2,2
1294,2,,1,2,,,2,,,2,1
1295,2,,2,2,,,2,,,2,2
1296,2,,2,2,,,2,,,2,2
1297,2,,2,2,,,2,,,2,2
1298,2,,2,2,,,2,,,2,2
1299,2,,2,2,,,2,,,2,2
1300,2,,2,2,,,2,,,2,2
1301,2,,2,2,,,2,,,2,2
1302,2,,2,2,,,2,,,2,2
1303,2,,2,2,,,2,,,2,2
1304,2,,2,2,,,2,,,2,2
1305,2,,2,2,,,2,,,2,2
1306,2,,2,2,,,2,,,2,2
1307,2,,2,2,,,2,,,2,2
1308,2,,2,2,,,2,,,2,2
1309,2,,2,2,,,2,,,2,2
1310,2,,2,2,,,2,,,2,2
1311,2,,2,2,,,2,,,2,2
1312,2,,2,2,,,2,,,2,2
1313,2,,2,2,,,2,,,2,2
1314,2,,2,2,,,2,,,2,2
1315,2,,2,2,,,2,,,2,2
1316,2,,2,2,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
1317,2,,2,2,,,2,,,2,2
1318,2,,2,2,,,2,,,2,2
1319,2,,2,2,,,2,,,2,2
1320,2,,2,2,,,2,,,2,2
1321,2,,2,2,,,2,,,2,2
1322,2,,2,2,,,2,,,2,2
1323,2,,2,2,,,2,,,2,2
1324,2,,2,2,,,2,,,2,2
1325,2,,2,2,,,2,,,2,2
1326,2,,2,2,,,2,,,2,2
1327,2,,2,2,,,2,,,2,2
1328,2,,2,2,,,2,,,2,2
1329,2,,2,2,,,2,,,2,2
1330,2,,2,2,,,2,,,2,2
1331,2,,2,2,,,2,,,2,2
1332,2,,2,2,,,2,,,2,2
1333,2,,2,2,,,2,,,2,2
1334,2,,2,2,,,2,,,2,2
1335,2,,2,2,,,2,,,2,2
1336,2,,2,2,,,2,,,2,2
1337,2,,2,2,,,2,,,2,2
1338,2,,2,2,,,2,,,2,2
1339,2,,2,2,,,2,,,2,2
1340,2,,2,2,,,2,,,2,2
1341,2,,2,2,,,2,,,2,2
1342,2,,2,2,,,2,,,2,2
1343,2,,2,2,,,2,,,2,2
1344,2,,2,2,,,2,,,2,2
1345,2,,2,2,,,2,,,2,2
1346,2,,2,2,,,2,,,2,2
1347,2,,2,2,,,2,,,2,2
1348,2,,2,2,,,2,,,2,2
